aircraft_id,label_id,ff1_seq,len_seq_ff1
N08381_G-EZGX,1555611025000_N08381_G-EZGX,"[824.3064479917355, 786.5587821690722, 696.5059414268042, 777.1574977319588, 791.4113118264463, 697.2248437355372, 775.0, 769.8455539463916, 770.6950625979382, 1633.575944842975, 768.2997078016529, 765.3791641072166, 1037.0570410886598, 1297.6098680991736, 7223.591156008265, 7695.764052198348, 6818.701518441238, 6405.989722595042, 6394.205725826446, 5830.224776132231, 5461.810546198347, 5186.653306098081, 4844.943377958678, 4420.879976363636, 4108.57587076033, 3871.1001017435897, 2738.447810181818, 2782.861004165289, 2763.059089876033, 2794.689487553719, 2765.834235315464, 2733.4260745785123, 2680.6596958842974, 2750.405248760331, 2717.6946857237112, 2762.642212486598, 2696.2250900578515, 2757.122602561983, 2800.300446061856, 514.6458099463918, 1734.2876651876286, 804.2125002148761, 1199.8919163070364, 729.0971878891257, 803.4257803326226, 790.446772434968, 741.9010163546392, 1057.204129187629, 1044.2680228512397, 683.9943291900826, 675.9999999999999, 1939.965479983505, 1017.0154613773195, 2215.8522309917357, 982.9610873801653, 942.0, 756.4591902597938, 0.0, 0.0, 0.0]",60
N08381_G-EZGX,1556775670000_N08381_G-EZGX,"[603.0272629132231, 777.3091430490406, 769.0, 7103.713586456612, 6553.365596742267, 5766.0404195629, 5067.714934380165, 4469.302213347108, 4008.923197726269, 3667.6837847166844, 3323.771995975232, 2040.6471249122808, 2394.7207933262257, 2389.9127337500004, 2549.2171425619836, 2568.6144269072165, 2525.634479360341, 2420.0, 2433.427104049587, 2441.7937181456955, 2340.0612674392933, 2341.0432606398344, 2402.6656300515997, 2392.7340924606506, 2495.9234697654583, 2423.478418130165, 2453.3880529484536, 2305.0948131837604, 2315.560413016529, 2366.161460773196, 2383.772284008529, 2447.395054602649, 2412.316505717439, 2319.4222324081848, 2435.290560227038, 2308.0306006396586, 2346.833004896694, 2319.1228030268594, 2331.455463710021, 2411.0905888842976, 2313.9044967975206, 2396.9048456396586, 2388.390271381443, 2378.2739901340206, 2318.110722628205, 2316.1417460227276, 2315.011928869936, 2302.639052340206, 2206.847729586777, 2319.127997886598, 2199.284181818182, 604.3887406714875, 407.0, 569.0, 812.5615960412372, 604.4804145522388, 686.2051708264463, 824.0648039876032, 915.8573240909091, 2240.654664824742]",60
N08385_G-EZGY,1558246150000_N08385_G-EZGY,"[773.0, 820.9366338061856, 694.5464783835051, 9721.140299181818, 6910.0009411711335, 6289.903369317508, 5444.0986944, 4849.530895384298, 4385.469756110873, 4055.4232527322765, 3713.6845851495505, 3664.692952119835, 2696.426928841237, 2609.987730214876, 3490.1360509509595, 2550.0095818336886, 2545.267410520661, 2610.9009027768598, 2575.5697413223143, 2439.442914892562, 2540.8643464742267, 2588.1830882686572, 2559.777739846154, 2492.3453032863245, 2467.2251921319585, 2516.3190338223144, 2532.9776643966943, 2512.3573989132233, 2550.432751785124, 2511.733805222222, 2507.389196153846, 2497.9968218103095, 2606.3836993319587, 2528.5863435340207, 2524.475652351511, 2525.532347334755, 2244.211626055437, 2697.816448305785, 2509.846037723711, 2371.7022661825904, 2341.150304, 2497.2977765072164, 2454.2539492649576, 1309.883003466951, 2124.07875523299, 2767.313811632231, 2291.0, 1963.0, 599.8326516929637, 571.2568503675213, 677.7295493608248, 783.7274962991453, 725.5136100536082, 663.3583533595041, 877.3090271570248, 937.336902217484, 2089.2804821577824, 729.8263342892562, 0.0, 0.0]",60
N08385_G-EZGY,1560169035000_N08385_G-EZGY,"[709.822965715447, 837.5606089938144, 804.8675054157783, 879.7420437254902, 700.702668830022, 7465.7223904783505, 7100.824281707317, 6371.1461290746265, 5555.094067422764, 4895.975007004406, 4441.7458276948455, 4062.1500421239666, 3745.771361242291, 3361.3797720284265, 3029.7253014925373, 2684.1967786487603, 2350.220070257868, 2403.0, 2514.090390628099, 2570.504829552239, 2521.2526107190083, 2413.0, 2573.1005440706404, 2451.021975546748, 2797.946818076923, 2593.217332173196, 2503.131478097561, 2440.215733530917, 2496.049247846482, 2594.2199790728473, 2417.284197674227, 2504.0920913841464, 2645.5203712564103, 2458.8182127038185, 2415.4458993814433, 2401.487915818182, 2525.0109560691058, 2405.317856170576, 2002.943617322314, 1724.1527096026489, 2630.8559189401713, 2531.715621284553, 2495.8342754083887, 2430.8977420247934, 2547.0040229752067, 2330.2580054268037, 1780.654774894309, 2450.7465137924946, 1165.3557409072164, 1009.1619107644628, 846.9307785619835, 1500.0431004958677, 766.7604284238411, 734.9260546144329, 2194.01285622291, 1561.2601218264463, 2011.9507809421486, 1528.1486220785123, 935.2570762148761, 2563.193673055556]",60
N08390_HB-JXO,1554782815000_N08390_HB-JXO,"[688.5379456033058, 549.4947658969072, 669.1102778512397, 7270.944372462945, 6292.980012538632, 5546.014469311341, 4857.725871219513, 4367.133104423841, 3987.4108731735537, 3667.444012327387, 2141.356259101031, 3451.655185413223, 2365.3744125031444, 2518.1217261570246, 2485.1936184904052, 2587.4464759829425, 2476.853816082474, 2415.6540783529413, 2564.929279897655, 2522.6313993006397, 2442.212544718266, 2606.471910185567, 2566.7374060206184, 2356.114199867905, 2449.687950820513, 2541.9760609256195, 2655.1431859793815, 2291.990449458422, 2320.5907167554183, 2655.4002086752134, 2375.965394446281, 2482.689080371517, 2410.313687880597, 2525.027841140496, 2295.148579453745, 2592.4648600413225, 2362.9439943917528, 2553.041421554084, 2361.512923843299, 2584.8860094774395, 2304.5524682975206, 2422.8534680412367, 1656.8713817586568, 1373.475771645361, 2249.715294035088, 2547.961545542268, 2706.5004770247933, 2855.893681036726, 411.6224178309278, 414.6608222260128, 883.8306706904513, 765.2595932644628, 790.5400854754798, 812.1161415863539, 837.1517542345416, 1639.1431705042735, 1232.4340576033057, 1773.7511802820513, 768.0, 0.0]",60
N08390_HB-JXO,1558626240000_N08390_HB-JXO,"[728.3748078677686, 1162.197495661157, 688.5910147793815, 805.2147898987603, 745.5619701525773, 745.121090838843, 683.5772983974359, 7615.8907696226015, 6744.826171438016, 6963.754663504133, 6549.014046673554, 6317.210121927835, 5812.465566041323, 5092.211880602063, 2331.0, 2465.7208451513857, 2578.4841809917352, 2414.4362410639174, 2618.7566238476957, 2558.612768340909, 2249.0, 2339.161179340206, 2452.654579466951, 2314.8181003859277, 2288.994279059794, 2506.890146214876, 2510.1039309072166, 2333.8309694566115, 2341.4463613801654, 2269.1974077066116, 2474.662425313433, 2243.021065352564, 2334.039400231405, 2312.4324790895525, 2349.5523561938144, 2463.340813165289, 2407.1904526597937, 2402.7748075826444, 2420.0338185247933, 1787.1168964586777, 659.8398842132195, 637.7124260683761, 1915.5419827462688, 2228.198840917526, 817.6311729421489, 818.7477311113402, 881.4378908884297, 1313.3505436921487, 868.611909553719, 896.6761477066116, 1936.473760897436, 910.7413080810235, 960.0, 2254.531899319588, 525.9126307933884, 763.637399313402, 724.5000310743801, 0.0, 0.0, 0.0]",60
N08390_HB-JXO,1560063200000_N08390_HB-JXO,"[674.1042820041322, 794.0, 850.2852763505153, 865.9999999999999, 726.1115384188034, 7928.009982942431, 6959.09265032165, 7003.62579461157, 6641.715244857733, 6450.102998917356, 5589.341539166667, 5165.672529454546, 4848.205703542268, 4917.833670950413, 4603.8067951198345, 4291.69809228866, 3929.8338064669424, 3618.355898464819, 2833.764990127835, 2675.0874751404963, 2547.3722983677685, 2491.063916156701, 2527.9142406363635, 2534.9209065641026, 2625.7973393432835, 2585.2376432164947, 2573.295312855372, 2417.400980915464, 2451.389920756198, 2485.7187808205126, 2565.3082582089555, 2567.2220685360826, 2480.8002178264464, 2445.325437107438, 2442.5822559092785, 2429.9569265671644, 2454.397979909091, 2550.45293571134, 1649.1710619545454, 1654.2969427603307, 1497.584943326226, 687.438884315565, 664.3977421033057, 667.811136, 1200.3573446515463, 1680.9674744989338, 1359.0847918933903, 2108.060851496907, 2201.7973372066117, 1618.3508805206611, 790.7648976972282, 2078.067507206823, 1142.0815692727274, 1818.853166553719, 660.5903286845361, 1237.4381363636364, 931.032438814499, 1986.49079388866, 1701.6507860247934, 755.9601839505154]",60
N08344_G-EZRY,1555592945000_N08344_G-EZRY,"[660.0, 779.7367800413223, 780.462981443299, 776.7819470247933, 771.4418924536083, 634.1035114102565, 8747.286486750969, 4292.131881125828, 7001.241426865672, 6480.84416527835, 6158.463293802817, 5565.301119090909, 5208.2552135874075, 4930.30559, 4635.293568272921, 4364.238931157024, 4061.1331476332625, 2552.97385814433, 3722.461338974359, 3445.8303546280995, 2467.4587954440963, 2268.010930886598, 2767.1137358711567, 2471.9503773608244, 2440.0, 2484.4997307462686, 2551.514672396694, 2454.5636545842217, 2442.9136875206614, 2438.0172257569297, 2460.6306261400737, 2334.540597768595, 2423.3181748453608, 2438.771793165829, 2410.204627298969, 2076.355167768595, 1748.1985397113401, 1542.7378712809916, 1415.7258938842976, 2297.221100763035, 730.9712087253333, 1700.2543724093816, 2455.7187, 609.3560940298507, 811.0656243801652, 762.910317107438, 722.8516538618104, 1144.868613429752, 817.1106539381443, 1548.3347647933883, 890.2339327010309, 1089.1252328099172, 1299.1855031982943, 2255.812685629281, 841.4908125619835, 722.888916891782, 729.7697413608247, 733.1505927685951, 0.0, 0.0]",60
N08344_G-EZRY,1561362430000_N08344_G-EZRY,"[754.5171437938145, 760.1959467768595, 1639.7370195661158, 7303.917354132231, 6454.020732366737, 5444.993887933884, 4422.017040762887, 4011.876976322314, 3619.721273140496, 2492.5712607438018, 2693.1896097933886, 2656.8271524380166, 2569.14587142268, 2744.4137196581196, 2680.4552420247937, 2574.320052153518, 2616.9167549072163, 2625.1895306609804, 2708.5790197314045, 2698.363945619835, 2584.5120528305783, 2581.501948701031, 2629.7748671641793, 2673.5058350515465, 2645.409655576923, 2515.5648661443297, 2583.0221718350513, 2814.5778572727277, 2586.7616233475483, 2509.703873223141, 2510.711907164179, 2576.581343884298, 2597.418351549587, 2600.441388016529, 2511.5303028997864, 2472.6736115051544, 2599.802251301653, 2483.9820363636363, 2379.187135020661, 2559.3556965360826, 2507.3663097222225, 2445.1733129072163, 2471.5405172371134, 2408.0, 2498.9929174639174, 2306.476812396694, 2241.503333690722, 2440.8689555785127, 2408.4817603305787, 2335.775824297521, 2400.8838115051544, 2435.4921026012794, 1803.594692107438, 2718.3745322314053, 2013.8724546074382, 667.0, 718.6483486157025, 1059.014369466951, 2671.8395499999997, 1341.9238813608247]",60
N08358_G-EZRZ,1551961465000_N08358_G-EZRZ,"[660.2958716528925, 1539.2113401859503, 819.8114419616205, 767.373988742268, 785.7703056410256, 782.8764344948454, 706.8044316239317, 8927.282149752577, 6469.842660895522, 7002.111603181818, 6420.533607292111, 6303.482510927835, 5920.3479474380165, 5318.5146910470085, 4703.627253195877, 4706.732100298507, 4599.720061157025, 4424.185594946695, 3993.523698884297, 3775.02678, 3235.672430515464, 2524.17354214876, 2772.4661729338845, 2818.795467793814, 2733.842672835821, 2690.105684483471, 2485.217073402062, 2609.226006900826, 2650.599392659794, 2705.0925652371134, 2736.45907716658, 2703.9317329545456, 2171.681013938144, 1957.2014987216496, 3532.5672526859507, 2758.616959442149, 1392.4880725773196, 2157.2561848553723, 2220.798227066116, 2004.9576772371133, 2180.049397355372, 630.1516435051547, 747.9405490721649, 768.0498471280991, 1805.7694106391752, 769.4753038556701, 2197.15656446281, 1600.3813495454547, 1384.443984477612, 1215.9443185330579, 809.2879243923242, 916.6257485567011, 792.031118050149, 1828.8006867768595, 1865.3669011940297, 941.0, 752.4299936034115, 724.8770400206186, 725.0117105979382, 756.0742923140496]",60
